"location","population"
China,1425887360
India,1417173120
United States,338289856
Indonesia,275501344
Pakistan,235824864
Nigeria,218541216
Brazil,215313504
Bangladesh,171186368
Russia,144713312
Mexico,127504120
Japan,123951696
Ethiopia,123379928
Philippines,115559008
Egypt,110990096
Democratic Republic of Congo,99010216
Vietnam,98186856
Iran,88550568
Turkey,85341248
Germany,83369840
Thailand,71697024
France,67813000
United Kingdom,67508936
Tanzania,65497752
Italy,59037472
Myanmar,54179312
Kenya,54027484
Colombia,51874028
South Korea,51815808
Spain,47558632
Uganda,47249588
Sudan,46874200
Argentina,45510324
Algeria,44903228
Iraq,44496124
Afghanistan,41128772
Poland,39857144
Ukraine,39701744
Canada,38454328
Morocco,37457976
Saudi Arabia,36408824
Angola,35588996
Uzbekistan,34627648
Peru,34049588
Malaysia,33938216
Yemen,33696612
Ghana,33475870
Mozambique,32969520
Nepal,30547586
Madagascar,29611718
Venezuela,28301700
Cote d'Ivoire,28160548
Cameroon,27914542
Niger,26207982
Australia,26177410
North Korea,26069416
Taiwan,23893396
Burkina Faso,22673764
Mali,22593598
Syria,22125242
Sri Lanka,21832150
Malawi,20405318
Zambia,20017670
Romania,19659270
Chile,19603736
Kazakhstan,19397998
Ecuador,18001002
Guatemala,17843914
Chad,17723312
Somalia,17597508
Netherlands,17564020
Senegal,17316452
Cambodia,16767851
Zimbabwe,16320539
Guinea,13859349
Rwanda,13776702
Benin,13352864
Burundi,12889583
Tunisia,12356116
Bolivia,12224114
Belgium,11655923
Haiti,11585003
Jordan,11285875
Dominican Republic,11228821
Cuba,11212198
South Sudan,10913172
Sweden,10549349
Czechia,10493990
Honduras,10432858
Greece,10384972
Azerbaijan,10358078
Portugal,10270857
Papua New Guinea,10142625
Hungary,9967304.0
Tajikistan,9952789.0
Belarus,9534956.0
Israel,9449000.0
United Arab Emirates,9441138.0
Austria,8939617.0
Togo,8848700.0
Switzerland,8740471.0
Sierra Leone,8605723.0
Laos,7529477.0
Hong Kong,7488863.0
Nicaragua,6948395.0
Serbia,6871547.0
Libya,6812344.0
Bulgaria,6781955.0
Paraguay,6780745.0
Kyrgyzstan,6630621.0
El Salvador,6336393.0
Congo,5970430.0
Denmark,5882259.0
Slovakia,5643455.0
Singapore,5637022.0
Central African Republic,5579148.0
Finland,5540745.0
Lebanon,5489744.0
Norway,5434324.0
Liberia,5302690.0
Palestine,5250076.0
New Zealand,5185289.0
Costa Rica,5180836.0
Ireland,5023108.0
Mauritania,4736146.0
Oman,4576300.0
Panama,4408582.0
Kuwait,4268886.0
Croatia,4030361.0
Georgia,3744385.0
Eritrea,3684041.0
Uruguay,3422796.0
Mongolia,3398373.0
Moldova,3272993.0
Bosnia and Herzegovina,3233530.0
Albania,2842318.0
Jamaica,2827382.0
Armenia,2780472.0
Lithuania,2750058.0
Gambia,2705995.0
Qatar,2695131.0
Botswana,2630300.0
Namibia,2567024.0
Gabon,2388997.0
Lesotho,2305826.0
Slovenia,2119843.0
Guinea-Bissau,2105580.0
North Macedonia,2093606.0
Latvia,1850654.0
Kosovo,1782115.0
Equatorial Guinea,1674916.0
Trinidad and Tobago,1531043.0
Bahrain,1472237.0
Timor,1341298.0
Estonia,1326064.0
Mauritius,1299478.0
Eswatini,1201680.0
Djibouti,1120851.0
Fiji,929769.0
Cyprus,896007.0
Comoros,836783.0
Guyana,808727.0
Bhutan,782457.0
Solomon Islands,724272.0
Macao,695180.0
Luxembourg,647601.0
Montenegro,627082.0
Suriname,618046.0
Cape Verde,593162.0
Malta,533293.0
Maldives,523798.0
Brunei,449002.0
Bahamas,409989.0
Belize,405285.0
Northern Cyprus,382836.0
Iceland,372903.0
Vanuatu,326744.0
French Polynesia,306292.0
New Caledonia,289959.0
Barbados,281646.0
Sao Tome and Principe,227393.0
Samoa,222390.0
Curacao,191173.0
Saint Lucia,179872.0
Kiribati,131237.0
Grenada,125459.0
Micronesia (country),114178.0
Seychelles,107135.0
Tonga,106867.0
Aruba,106459.0
Saint Vincent and the Grenadines,103959.0
Antigua and Barbuda,93772.0
Isle of Man,84534.0
Andorra,79843.0
Dominica,72758.0
Cayman Islands,68722.0
Bermuda,64207.0
Greenland,56494.0
Faeroe Islands,53117.0
Saint Kitts and Nevis,47681.0
Turks and Caicos Islands,45726.0
Marshall Islands,41593.0
Liechtenstein,39355.0
Monaco,36491.0
San Marino,33690.0
Gibraltar,32677.0
British Virgin Islands,31332.0
Bonaire Sint Eustatius and Saba,27052.0
Palau,18084.0
Cook Islands,17032.0
Anguilla,15877.0
Nauru,12691.0
Wallis and Futuna,11596.0
Tuvalu,11335.0
Saint Pierre and Miquelon,5885.0
Saint Helena,5401.0
Montserrat,4413.0
Falkland Islands,3801.0
Vatican,808.0
